scenario,nameOM,nameMP,keyVar,plotOrder,species,simYears,harvContRule,benchmark,canER,finalCanER,ERStartYear,EREndYear,usER,cvERSMU,propMixHigh,singleHCR,moveTAC,prodRegime,prodPpnChange,prodTrendLength,prodStartYear,prodEndYear,prodRegimeLen,ampSinProd,sinCycleLen,capRegime,capPpnChange,capTrendLength,capStartYear,capEndYear,capRegimeLen,sigRegime,sigShiftYear,rho,arSigTransform,biasCor,correlCU,corrMat,sampCU_coef1,tauCatch,obsSig,mixOUSig,singOUSig,obsMixCatchSig,obsSingCatchSig,obsAgeErr,lowCatchThresh,highCatchThresh,extinctThresh,adjustSig,adjustAge,adjustForecast,agePpnConst,rCap
lowERLowError,stationary,lowERLowError,prodRegime,1,chinook,50,fixedER,stockRecruit,0.2,0.2,1,40,0,0.256,1,FALSE,FALSE,linear,1,50,NA,NA,NA,NA,NA,linear,1,50,NA,NA,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3
lowERHighError,stationary,lowERHighError,prodRegime,1,chinook,50,fixedER,stockRecruit,0.2,0.2,1,40,0,0.556,1,FALSE,FALSE,linear,1,50,NA,NA,NA,NA,NA,linear,1,50,NA,NA,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3
highERLowError,stationary,highERLowError,prodRegime,1,chinook,50,fixedER,stockRecruit,0.6,0.6,1,40,0,0.256,1,FALSE,FALSE,linear,1,50,NA,NA,NA,NA,NA,linear,1,50,NA,NA,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3
highERHighError,stationary,highERHighError,prodRegime,1,chinook,50,fixedER,stockRecruit,0.6,0.6,1,40,0,0.556,1,FALSE,FALSE,linear,1,50,NA,NA,NA,NA,NA,linear,1,50,NA,NA,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3
ShiftERLowError,stationary,ShiftERLowError,prodRegime,1,chinook,50,shiftER,stockRecruit,0.6,0.2,25,30,0,0.256,1,FALSE,FALSE,linear,1,50,NA,NA,NA,NA,NA,linear,1,50,NA,NA,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3
ShiftERHighError,stationary,ShiftERHighError,prodRegime,1,chinook,50,shiftER,stockRecruit,0.6,0.2,25,30,0,0.556,1,FALSE,FALSE,linear,1,50,NA,NA,NA,NA,NA,linear,1,50,NA,NA,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3
trendERLowError,stationary,trendERLowError,prodRegime,1,chinook,50,trendER,stockRecruit,0.125,0.55,6,40,0,0.256,1,FALSE,FALSE,linear,1,50,NA,NA,NA,NA,NA,linear,1,50,NA,NA,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3
trendERHighError,stationary,trendERHighError,prodRegime,1,chinook,50,trendER,stockRecruit,0.125,0.55,6,40,0,0.556,1,FALSE,FALSE,linear,1,50,NA,NA,NA,NA,NA,linear,1,50,NA,NA,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3
decLinearProd_ShiftERLowError,decLinearProd,ShiftERLowError,prodRegime,1,chinook,50,shiftER,stockRecruit,0.6,0.2,25,30,0,0.256,1,FALSE,FALSE,linear,0.231,50,11,45,NA,NA,NA,linear,1,50,1,50,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3
decLinearProd_highERLowError,decLinearProd,highERLowError,prodRegime,1,chinook,50,fixedER,stockRecruit,0.6,0.6,1,40,0,0.256,1,FALSE,FALSE,linear,0.231,50,11,45,NA,NA,NA,linear,1,50,1,50,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3
