scenario,nameOM,nameMP,keyVar,plotOrder,species,simYears,harvContRule,benchmark,canER,finalCanER,ERStartYear,EREndYear,usER,cvERSMU,propMixHigh,singleHCR,moveTAC,prodRegime,prodPpnChange,prodTrendLength,prodStartYear,prodEndYear,prodRegimeLen,ampSinProd,sinCycleLen,capRegime,capPpnChange,capTrendLength,capStartYear,capEndYear,capRegimeLen,sigRegime,sigShiftYear,rho,arSigTransform,biasCor,correlCU,corrMat,sampCU_coef1,tauCatch,obsSig,mixOUSig,singOUSig,obsMixCatchSig,obsSingCatchSig,obsAgeErr,lowCatchThresh,highCatchThresh,extinctThresh,adjustSig,adjustAge,adjustForecast,agePpnConst,rCap
trendLinearProd1_da,trendLinearProd1_da,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.45,0.45,1,50,0,0.256,1,FALSE,FALSE,linear,0.025,50,6,45,NA,NA,NA,linear,1,50,1,50,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3
trendLinearProd1.3_da,trendLinearProd1.3_da,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.45,0.45,1,50,0,0.256,1,FALSE,FALSE,linear,0.231,50,6,45,NA,NA,NA,linear,1,50,1,50,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3
trendLinearProd2_da,trendLinearProd2_da,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.45,0.45,1,50,0,0.256,1,FALSE,FALSE,linear,0.5331901,50,6,45,NA,NA,NA,linear,1,50,1,50,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3
trendLinearProd5_da,trendLinearProd5_da,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.45,0.45,1,50,0,0.256,1,FALSE,FALSE,linear,1.2380292,50,6,45,NA,NA,NA,linear,1,50,1,50,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3
trendLinearProd7_da,trendLinearProd7_da,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.45,0.45,1,50,0,0.256,1,FALSE,FALSE,linear,1.496854,50,6,45,NA,NA,NA,linear,1,50,1,50,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3
trendLinearProd10_da,trendLinearProd10_da,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.45,0.45,1,50,0,0.256,1,FALSE,FALSE,linear,1.771219,50,6,45,NA,NA,NA,linear,1,50,1,50,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3
regimeProd1_da,regimeProd1_da,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.45,0.45,1,50,0,0.256,1,FALSE,FALSE,regime,0.025,50,NA,NA,15,NA,NA,linear,1,50,NA,NA,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3
regimeProd1.3_da,regimeProd1.3_da,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.45,0.45,1,50,0,0.256,1,FALSE,FALSE,regime,0.231,50,NA,NA,15,NA,NA,linear,1,50,NA,NA,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3
regimeProd2_da,regimeProd2_da,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.45,0.45,1,50,0,0.256,1,FALSE,FALSE,regime,0.5331901,50,NA,NA,15,NA,NA,linear,1,50,NA,NA,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3
regimeProd5_da,regimeProd5_da,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.45,0.45,1,50,0,0.256,1,FALSE,FALSE,regime,1.2380292,50,NA,NA,15,NA,NA,linear,1,50,NA,NA,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3
regimeProd7_da,regimeProd7_da,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.45,0.45,1,50,0,0.256,1,FALSE,FALSE,regime,1.496854,50,NA,NA,15,NA,NA,linear,1,50,NA,NA,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3
regimeProd10_da,regimeProd10_da,fixedER,prodRegime,1,chinook,50,fixedER,stockRecruit,0.45,0.45,1,50,0,0.256,1,FALSE,FALSE,regime,1.771219,50,NA,NA,15,NA,NA,linear,1,50,NA,NA,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE,3
